metric,metric_label,error_rate,error_pct,mean_stability,p10_stability,p90_stability
q1_cor,Alpha Hill q1,0.13,13,0.964053030443542,0.9571382140700544,0.9707485340864811
q1_cor,Alpha Hill q1,0.14,14,0.9616965301595678,0.9586844163209526,0.9670722359909876
q1_cor,Alpha Hill q1,0.15000000000000002,15,0.9566007287371839,0.9487101058212446,0.9660539789758831
q1_cor,Alpha Hill q1,0.16,16,0.9552055372453644,0.9491810933025691,0.9636045057244983
q1_cor,Alpha Hill q1,0.17,17,0.9557666159629031,0.9487041883332219,0.9641416038178328
q1_cor,Alpha Hill q1,0.18000000000000002,18,0.9497426959846554,0.9457757480955697,0.952469428918257
q1_cor,Alpha Hill q1,0.19,19,0.9485115886825617,0.9412554877033439,0.9547243909557183
q1_cor,Alpha Hill q1,0.2,20,0.9484270852589515,0.9430065396516386,0.9529038230153336
q2_cor,Alpha Hill q2,0.01,1,0.9977489931575767,0.9954487488990036,0.9997458667087512
q2_cor,Alpha Hill q2,0.02,2,0.9949660903520282,0.9903645212858123,0.9978030583796472
q2_cor,Alpha Hill q2,0.03,3,0.9916147531864332,0.9890454473249451,0.9941672708390658
q2_cor,Alpha Hill q2,0.04,4,0.9910236846354192,0.9865789771910654,0.9968313866586773
q2_cor,Alpha Hill q2,0.05,5,0.9872703756647038,0.9825139535154728,0.9944791234051001
q2_cor,Alpha Hill q2,0.060000000000000005,6,0.9840143337661542,0.9765111793683531,0.9899164745489049
q2_cor,Alpha Hill q2,0.06999999999999999,7,0.9815093793028998,0.9772049003150302,0.9884531304293691
q2_cor,Alpha Hill q2,0.08,8,0.9788488759776555,0.9721100027007736,0.985297322934296
q2_cor,Alpha Hill q2,0.09,9,0.9752249365493242,0.9681840966425606,0.9803651039903706
q2_cor,Alpha Hill q2,0.09999999999999999,10,0.9772700281434603,0.972111151895526,0.9831197811632966
q2_cor,Alpha Hill q2,0.11,11,0.9694262890215175,0.9635478561196098,0.9742455934936156
q2_cor,Alpha Hill q2,0.12,12,0.9673632431664966,0.9581637620102835,0.9763155332807609
q2_cor,Alpha Hill q2,0.13,13,0.9636633040965774,0.9550363597704216,0.9740855242647644
q2_cor,Alpha Hill q2,0.14,14,0.9577239477185238,0.9502239167973603,0.9644794523657386
q2_cor,Alpha Hill q2,0.15000000000000002,15,0.9531852641233097,0.9407326791482689,0.9624262652517767
q2_cor,Alpha Hill q2,0.16,16,0.950957668257161,0.939961374092478,0.9604394796421465
q2_cor,Alpha Hill q2,0.17,17,0.9480937740357587,0.9384384005847934,0.9562803874527991
q2_cor,Alpha Hill q2,0.18000000000000002,18,0.9428707243312513,0.9348947686515949,0.9491618934653003
q2_cor,Alpha Hill q2,0.19,19,0.9396015882136499,0.9265199855682288,0.9555981372878635
q2_cor,Alpha Hill q2,0.2,20,0.938230692514169,0.9291286852593863,0.9452916435015303
sorensen_pa_cor,Sørensen,0.01,1,0.9931799012470753,0.9908761443687616,0.9967230704593988
sorensen_pa_cor,Sørensen,0.02,2,0.982917042639778,0.9780035945872962,0.9886276537946339
sorensen_pa_cor,Sørensen,0.03,3,0.97717550368657,0.9702198148975856,0.9845229445100967
