scenario_family,scenario,baseline_scenario,unit_type,iter,error_rate,error_pct,pool_source,n_units,total_abundance,mean_local_q0,mean_local_q1,mean_local_q2,mean_coverage_chao,gamma_taxon_units
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,4,0.13,13,observed,68,2352,6.147058823529412,3.9676949714396454,3.137862573100388,0.8349533713947334,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,5,0.13,13,observed,68,2352,6.0588235294117645,3.960781027419244,3.135275391884257,0.828424735976737,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,6,0.13,13,observed,68,2352,5.970588235294118,3.9326215457602576,3.1471310728088358,0.8341073843390041,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,7,0.13,13,observed,68,2352,6.161764705882353,3.976266709000994,3.148971963051767,0.8210553459441327,50
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,8,0.13,13,observed,68,2352,6.044117647058823,3.9254049145319456,3.1070147135806105,0.8361902281916085,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,9,0.13,13,observed,68,2352,6.117647058823529,3.9337549464167347,3.1106866235778323,0.8287144874312862,51
appendix_error_gradient,appendix_species_same_genus_observed_13pct,appendix_species_baseline,species_units,10,0.13,13,observed,68,2352,6.176470588235294,4.032792223098348,3.1951988691766284,0.8146654475265891,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,1,0.14,14,observed,68,2352,6.014705882352941,3.9609651006296387,3.1455157609186313,0.8321373077890999,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,2,0.14,14,observed,68,2352,6.220588235294118,4.051111284994647,3.221105618058188,0.8192693840421007,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,3,0.14,14,observed,68,2352,6.102941176470588,3.9856746816806368,3.1690885084124223,0.8334313301057659,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,4,0.14,14,observed,68,2352,6.014705882352941,3.943773822195015,3.1411043824860636,0.8350008063159837,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,5,0.14,14,observed,68,2352,6.176470588235294,4.032623844981904,3.1977337749547874,0.8242450674837044,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,6,0.14,14,observed,68,2352,6.323529411764706,4.072639633905866,3.211263957881917,0.8108448776016998,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,7,0.14,14,observed,68,2352,6.161764705882353,4.017637054501902,3.146890623880244,0.8271001030947369,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,8,0.14,14,observed,68,2352,6.147058823529412,3.969748183829768,3.1344993438767963,0.8241631782062283,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,9,0.14,14,observed,68,2352,6.161764705882353,4.008569477368091,3.175250291209912,0.8263553665487844,51
appendix_error_gradient,appendix_species_same_genus_observed_14pct,appendix_species_baseline,species_units,10,0.14,14,observed,68,2352,6.088235294117647,3.9370698284224392,3.118657017142751,0.827751608238542,51
appendix_error_gradient,appendix_species_same_genus_observed_15pct,appendix_species_baseline,species_units,1,0.15000000000000002,15,observed,68,2352,6.102941176470588,4.0011121348807075,3.1716946411461007,0.828402967542639,51
appendix_error_gradient,appendix_species_same_genus_observed_15pct,appendix_species_baseline,species_units,2,0.15000000000000002,15,observed,68,2352,6.147058823529412,4.024989027743389,3.1974065144015213,0.8277871820268883,51
