metric,error_rate,error_pct,mean_value,p10_value,p90_value,mean_response_ratio,p10_response_ratio,p90_response_ratio,mean_percent_change,p10_percent_change,p90_percent_change,metric_label
mean_local_q1,0.17,17,4.075268806632261,4.042812675208532,4.096350203225774,1.1374320457017622,1.1283733441258619,1.1433159903423185,13.743204570176223,12.837334412586193,14.331599034231846,Alpha Hill q1
mean_local_q1,0.18000000000000002,18,4.078446564740179,4.040209878624175,4.118811126586981,1.1383189771109377,1.1276468879375798,1.1495849692046478,13.831897711093761,12.764688793757983,14.9584969204648,Alpha Hill q1
mean_local_q1,0.19,19,4.103198995863737,4.080905353607476,4.135565951643672,1.1452275295782353,1.1390052398788628,1.1542613416953635,14.522752957823526,13.900523987886263,15.426134169536356,Alpha Hill q1
mean_local_q1,0.2,20,4.123116232627094,4.085430234870512,4.15809187203138,1.1507865502051944,1.1402681614665622,1.1605484616188906,15.07865502051943,14.026816146656198,16.054846161889063,Alpha Hill q1
mean_local_q2,0.01,1,2.9239578405281734,2.9136466144971638,2.9365015308110616,1.0063849573116261,1.0028359790653554,1.0107023181965542,0.6384957311626249,0.28359790653552874,1.0702318196554295,Alpha Hill q2
mean_local_q2,0.02,2,2.9472277139176066,2.937777980179579,2.9619255514337466,1.0143941188026282,1.0111416540260387,1.0194529067154465,1.439411880262822,1.1141654026038617,1.945290671544646,Alpha Hill q2
mean_local_q2,0.03,3,2.969077843145552,2.9580209884740083,2.9803080114374767,1.0219146244219388,1.0181090113373765,1.0257798896047738,2.1914624421938855,1.8109011337376613,2.5779889604773887,Alpha Hill q2
mean_local_q2,0.04,4,2.978360895317887,2.955465318316387,3.004370166719799,1.0251097197597325,1.017229385794617,1.034061743324064,2.5109719759732507,1.7229385794616991,3.4061743324063953,Alpha Hill q2
mean_local_q2,0.05,5,2.993812240368684,2.9605367225889854,3.0128600458083437,1.0304278543148275,1.018974891458771,1.0369838396982587,3.0427854314827596,1.8974891458771048,3.6983839698258647,Alpha Hill q2
mean_local_q2,0.060000000000000005,6,3.0173562983846995,3.0022078699611257,3.0386791429791264,1.0385313862785819,1.0333175113447208,1.04587040798043,3.8531386278581836,3.3317511344720785,4.5870407980429855,Alpha Hill q2
mean_local_q2,0.06999999999999999,7,3.0373432139817664,3.0133511937553226,3.0656940357308953,1.0454106001034678,1.0371528858790222,1.0551685521984928,4.541060010346785,3.7152885879022146,5.516855219849289,Alpha Hill q2
mean_local_q2,0.08,8,3.065541992614493,3.0255605748299703,3.087093556501371,1.055116221107022,1.0413551822600777,1.0625339647562864,5.511622110702188,4.135518226007764,6.253396475628629,Alpha Hill q2
mean_local_q2,0.09,9,3.0630334319797075,3.037077436435818,3.0799766894528293,1.0542528099961093,1.0453191232290322,1.0600844397181464,5.425280999610922,4.531912322903211,6.008443971814647,Alpha Hill q2
mean_local_q2,0.09999999999999999,10,3.0699137661666898,3.043932960119312,3.1111719323619464,1.0566209237667936,1.047678697575123,1.0708214013693262,5.662092376679371,4.767869757512308,7.082140136932617,Alpha Hill q2
mean_local_q2,0.11,11,3.0980465678965543,3.0683288214041524,3.1255111151424724,1.0663038364529944,1.0560754081834025,1.0757567453918846,6.630383645299451,5.607540818340253,7.575674539188461,Alpha Hill q2
mean_local_q2,0.12,12,3.127207999875479,3.0917918166930214,3.154094730478661,1.076340789130792,1.0641510395023293,1.0855948217489384,7.63407891307919,6.415103950232928,8.559482174893827,Alpha Hill q2
mean_local_q2,0.13,13,3.136791028469275,3.1061285044269207,3.177232496275733,1.0796391321125571,1.0690855247651072,1.0935585136740469,7.963913211255713,6.9085524765107325,9.355851367404695,Alpha Hill q2
mean_local_q2,0.14,14,3.1661109278821713,3.1329151112033915,3.212248123899544,1.0897306270411222,1.078305096177393,1.105610397741248,8.97306270411223,7.83050961773929,10.561039774124794,Alpha Hill q2
mean_local_q2,0.15000000000000002,15,3.1709381676145196,3.1313042191029044,3.20215577222698,1.0913920947218927,1.077750649887056,1.102136752955271,9.139209472189265,7.775064988705595,10.213675295527096,Alpha Hill q2
mean_local_q2,0.16,16,3.1940459226019944,3.157190945500558,3.224769584276907,1.0993454573505537,1.0866604951931478,1.1099201074069234,9.934545735055371,8.666049519314779,10.99201074069234,Alpha Hill q2
mean_local_q2,0.17,17,3.2295331065387813,3.2011371855792228,3.250611658458725,1.1115596444350302,1.1017861698292721,1.118814584051503,11.155964443503025,10.17861698292721,11.881458405150289,Alpha Hill q2
mean_local_q2,0.18000000000000002,18,3.2271224407862964,3.2010587789549816,3.248568047833872,1.1107299273588191,1.1017591833775195,1.1181112021617412,11.072992735881924,10.17591833775195,11.811120216174112,Alpha Hill q2
