pays;region;dpt;num_dpt;CD_INSEE;city;lieu-dit;project_yr;lon;lat;alt;date;date_fin;habitat;habitat_complet;
France;PROVENCE-ALPES-COTE-D'AZUR;VAR;83;83053;Evenos;;RMQS_2024;43.1807256825456;5.85371529787471;274;27/03/2024;22/04/2024;woodland;Pinède;
France;PROVENCE-ALPES-COTE-D'AZUR;VAR;83;83106;Rocbaron;;RMQS_2025;43.31055514;6.059722061;322;20/03/2025;16/04/2025;woodland;Pinède claire à genévriers;
France;AUVERGNE-RHONE-ALPES;ALLIER;3;3320;Ygrande;;RMQS_2025;46.54643177;2.94824303;338;24/03/2025;23/04/2025;grassland;Prairie temporaire;
France;AUVERGNE-RHONE-ALPES;ARDECHE;7;7242;Saint-Gineis-en-Coiron;;RMQS_2025;44.65343699;4.53268626;723;30/04/2025;28/05/2025;grassland;Prairie;
France;AUVERGNE-RHONE-ALPES;CANTAL;15;15243;Trizac;;RMQS_2024;45.2538548457955;2.52555216920108;902;05/06/2024;11/07/2024;grassland;Prairie de pâture;
France;AUVERGNE-RHONE-ALPES;HAUTE-LOIRE;43;43016;Auzon;;RMQS_2024;45.3911047765517;3.34517713570663;400;31/05/2024;02/07/2024;grassland;Prairie de fauche;
France;AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74;74005;Allinges;La Pierre du Diable;RMQS_2025;46.3272754;6.4829001;599;18/03/2025;17/04/2025;grassland;Prairie rase;
France;BOURGOGNE-FRANCHE-COMTE;DOUBS;25;25309;Houtaud;;RMQS_2025;46.90951885;6.316513081;812;01/04/2025;28/04/2025;grassland;Prairie permanente;
France;BOURGOGNE-FRANCHE-COMTE;SAONE-ET-LOIRE;71;71268;Lugny-les-Charolles;;RMQS_2025;46.38884502;4.195975883;286;19/03/2025;15/04/2025;grassland;Prairie de pâture;
France;BRETAGNE;FINISTERE;29;29155;Ouessant;Île d'Ouessant;RMQS_2025;48.4614379; -5.049546908;30;22/05/2025;19/06/2025;grassland;Prairie permanente;
France;CENTRE-VAL-DE-LOIRE;LOIR-ET-CHER;41;41044;Chatres-sur-Cher;;RMQS_2025;47.2671231;1.9009805;102;25/03/2025;22/04/2025;grassland;Prairie permanente;
France;GRAND-EST;HAUTES-PYRENEES;65;65074;Bazordan;Barthe;RMQS_2025;43.22370676;0.554718033;380;26/03/2025;23/04/2025;grassland;Prairie de fauche;
