scenario_family,scenario,baseline_scenario,unit_type,iter,coverage_estimator,mean,p10,median,p90
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,22,coverage_turing,0.8150450827683547,0.6466666666666667,0.88,0.9895250623096095
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,22,coverage_zhanghuang,0.8439991856422044,0.6797619047619048,0.9083709357418435,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,23,coverage_chao,0.8330759972616679,0.6387968117408906,0.9013888888888889,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,23,coverage_turing,0.8075661729559197,0.6107692307692307,0.88,0.9870169082125605
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,23,coverage_zhanghuang,0.8345569963478616,0.6408976275917064,0.904531746031746,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,24,coverage_chao,0.82710913804487185,0.6238157894736842,0.8964285714285715,0.9933334009493286
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,24,coverage_turing,0.8042794988886117,0.5269230769230769,0.8708333333333333,0.9839689265536724
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,24,coverage_zhanghuang,0.8300521158303267,0.625,0.8978174603174603,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,25,coverage_chao,0.8369951891014145,0.6238157894736842,0.9040204678362573,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,25,coverage_turing,0.8113926227804593,0.5700000000000001,0.8793939393939394,0.9888295259150086
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,25,coverage_zhanghuang,0.8400929139994331,0.6263888888888889,0.9067518881275938,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,26,coverage_chao,0.8262681477548912,0.6238157894736842,0.8964285714285715,0.9933334009493286
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,26,coverage_turing,0.8016351807519502,0.5700000000000001,0.8708333333333333,0.9803319209039547
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,26,coverage_zhanghuang,0.8279289529178396,0.6263888888888889,0.8970555306762203,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,27,coverage_chao,0.8288943477416961,0.6622126436781609,0.8924162257495591,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,27,coverage_turing,0.8033101683595637,0.6,0.8708333333333333,0.986829501915709
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,27,coverage_zhanghuang,0.8301384291058189,0.662807881773399,0.8924674951070701,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,28,coverage_chao,0.8254643490052943,0.6238157894736842,0.8974474474474474,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,28,coverage_turing,0.8014093976208,0.5700000000000001,0.8844444444444444,0.9837643678160919
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,28,coverage_zhanghuang,0.8271793543841027,0.625,0.8982156130321297,1
species_error_strict,species_same_genus_observed_10pct,species_baseline,species_units,29,coverage_chao,0.8335954013195895,0.6758160425101214,0.9040204678362573,1
