species,genus,family,difficult_genus
cdref:215983,Superodontella,Odontellidae,FALSE
cdref:215984,Superodontella,Odontellidae,FALSE
cdref:215985,Superodontella,Odontellidae,FALSE
cdref:215986,Superodontella,Odontellidae,FALSE
cdref:215987,Superodontella,Odontellidae,FALSE
cdref:215988,Superodontella,Odontellidae,FALSE
cdref:215989,Superodontella,Odontellidae,FALSE
cdref:215990,Superodontella,Odontellidae,FALSE
cdref:215991,Superodontella,Odontellidae,FALSE
cdref:215992,Xenyllodes,Odontellidae,FALSE
cdref:216318,Oncopodura,Oncopoduridae,FALSE
cdref:216319,Oncopodura,Oncopoduridae,FALSE
cdref:216320,Oncopodura,Oncopoduridae,FALSE
cdref:216321,Oncopodura,Oncopoduridae,FALSE
cdref:216322,Oncopodura,Oncopoduridae,FALSE
cdref:216323,Oncopodura,Oncopoduridae,FALSE
cdref:216324,Oncopodura,Oncopoduridae,FALSE
cdref:216325,Oncopodura,Oncopoduridae,FALSE
cdref:216052,Allonychiurus,Onychiuridae,FALSE
cdref:216046,Argonychiurus,Onychiuridae,FALSE
cdref:216047,Argonychiurus,Onychiuridae,FALSE
cdref:216043,Deharvengiurus,Onychiuridae,FALSE
cdref:216044,Deharvengiurus,Onychiuridae,FALSE
cdref:216045,Deharvengiurus,Onychiuridae,FALSE
cdref:216051,Detriturus,Onychiuridae,FALSE
cdref:216033,Deuteraphorura,Onychiuridae,FALSE
cdref:216034,Deuteraphorura,Onychiuridae,FALSE
cdref:216035,Deuteraphorura,Onychiuridae,FALSE
cdref:216036,Deuteraphorura,Onychiuridae,FALSE
cdref:216037,Deuteraphorura,Onychiuridae,FALSE
cdref:216038,Deuteraphorura,Onychiuridae,FALSE
cdref:216039,Deuteraphorura,Onychiuridae,FALSE
cdref:216040,Deuteraphorura,Onychiuridae,FALSE
cdref:216041,Deuteraphorura,Onychiuridae,FALSE
cdref:216042,Deuteraphorura,Onychiuridae,FALSE
cdref:216062,Hymenaphorura,Onychiuridae,FALSE
cdref:216060,Kalaphorura,Onychiuridae,FALSE
cdref:216061,Kalaphorura,Onychiuridae,FALSE
cdref:216054,Micraphorura,Onychiuridae,FALSE
cdref:216050,Micronychiurus,Onychiuridae,FALSE
cdref:216053,Oligaphorura,Onychiuridae,FALSE
cdref:216031,Onychiuroides,Onychiuridae,FALSE
cdref:216032,Onychiuroides,Onychiuridae,FALSE
cdref:216024,Onychiurus,Onychiuridae,FALSE
cdref:216025,Onychiurus,Onychiuridae,FALSE
cdref:216026,Onychiurus,Onychiuridae,FALSE
cdref:364580,Onychiurus,Onychiuridae,FALSE
cdref:216027,Onychiurus,Onychiuridae,FALSE
cdref:254860,Onychiurus,Onychiuridae,FALSE
cdref:216028,Onychiurus,Onychiuridae,FALSE
cdref:216029,Onychiurus,Onychiuridae,FALSE
cdref:216030,Onychiurus,Onychiuridae,FALSE
cdref:216055,Protaphorura,Onychiuridae,FALSE
cdref:216056,Protaphorura,Onychiuridae,FALSE
cdref:216057,Protaphorura,Onychiuridae,FALSE
cdref:216058,Protaphorura,Onychiuridae,FALSE
cdref:216059,Protaphorura,Onychiuridae,FALSE
cdref:216049,Thalassaphorura,Onychiuridae,FALSE
cdref:28912,Podura,Poduridae,FALSE
cdref:216415,Allacma,Sminthuridae,FALSE
cdref:216416,Allacma,Sminthuridae,FALSE
cdref:216413,Caprainea,Sminthuridae,FALSE
cdref:216414,Caprainea,Sminthuridae,FALSE
cdref:216412,Disparrhopalites,Sminthuridae,FALSE
cdref:216411,Gisinurus,Sminthuridae,FALSE
cdref:216403,Lipothrix,Sminthuridae,FALSE
cdref:216402,Neosminthurus,Sminthuridae,FALSE
cdref:216405,Sminthurus,Sminthuridae,FALSE
cdref:216406,Sminthurus,Sminthuridae,FALSE
cdref:216407,Sminthurus,Sminthuridae,FALSE
cdref:216408,Sminthurus,Sminthuridae,FALSE
cdref:216409,Sminthurus,Sminthuridae,FALSE
cdref:216410,Sminthurus,Sminthuridae,FALSE
cdref:216404,Spatulosminthurus,Sminthuridae,FALSE
cdref:216417,Jeannenotia,Sminthurididae,FALSE
cdref:216418,Sminthurides,Sminthurididae,TRUE
cdref:216419,Sminthurides,Sminthurididae,TRUE
cdref:216420,Sminthurides,Sminthurididae,TRUE
cdref:216421,Sminthurides,Sminthurididae,TRUE
cdref:216422,Sminthurides,Sminthurididae,TRUE
cdref:216423,Sminthurides,Sminthurididae,TRUE
cdref:216424,Sminthurides,Sminthurididae,TRUE
cdref:216425,Sminthurides,Sminthurididae,TRUE
cdref:216426,Sphaeridia,Sminthurididae,FALSE
cdref:216327,Pogonognathellus,Tomoceridae,FALSE
cdref:216328,Pogonognathellus,Tomoceridae,FALSE
cdref:216329,Tomocerina,Tomoceridae,FALSE
cdref:216330,Tomocerus,Tomoceridae,FALSE
cdref:216331,Tomocerus,Tomoceridae,FALSE
cdref:216332,Tomocerus,Tomoceridae,FALSE
cdref:216333,Tomocerus,Tomoceridae,FALSE
cdref:216334,Tomocerus,Tomoceridae,FALSE
cdref:216335,Tomocerus,Tomoceridae,FALSE
cdref:216336,Tomocerus,Tomoceridae,FALSE
cdref:216337,Tritomurus,Tomoceridae,FALSE
cdref:216023,Doutnacia,Tullbergiidae,FALSE
cdref:216008,Mesaphorura,Tullbergiidae,TRUE
cdref:216009,Mesaphorura,Tullbergiidae,TRUE
cdref:216010,Mesaphorura,Tullbergiidae,TRUE
cdref:216011,Mesaphorura,Tullbergiidae,TRUE
cdref:216012,Mesaphorura,Tullbergiidae,TRUE
cdref:216013,Mesaphorura,Tullbergiidae,TRUE
cdref:216014,Mesaphorura,Tullbergiidae,TRUE
cdref:216015,Mesaphorura,Tullbergiidae,TRUE
cdref:216016,Mesaphorura,Tullbergiidae,TRUE
cdref:216017,Mesaphorura,Tullbergiidae,TRUE
cdref:216018,Mesaphorura,Tullbergiidae,TRUE
cdref:216019,Mesaphorura,Tullbergiidae,TRUE
cdref:216020,Mesaphorura,Tullbergiidae,TRUE
cdref:216021,Mesaphorura,Tullbergiidae,TRUE
cdref:216022,Mesaphorura,Tullbergiidae,TRUE
cdref:216006,Metaphorura,Tullbergiidae,FALSE
cdref:216007,Metaphorura,Tullbergiidae,FALSE
cdref:216004,Najtiaphorura,Tullbergiidae,FALSE
cdref:216005,Najtiaphorura,Tullbergiidae,FALSE
cdref:216002,Neonaphorura,Tullbergiidae,FALSE
cdref:216003,Neonaphorura,Tullbergiidae,FALSE
cdref:216001,Neotullbergia,Tullbergiidae,FALSE
cdref:216000,Paratullbergia,Tullbergiidae,FALSE
cdref:215999,Pongeiella,Tullbergiidae,FALSE
cdref:215998,Scaphaphorura,Tullbergiidae,FALSE
cdref:215995,Stenaphorurella,Tullbergiidae,FALSE
cdref:215996,Stenaphorurella,Tullbergiidae,FALSE
cdref:215997,Stenaphorurella,Tullbergiidae,FALSE
cdref:215993,Wankeliella,Tullbergiidae,FALSE
cdref:215994,Wankeliella,Tullbergiidae,FALSE
