DEPARTEMENT;CD_DEPT;NOM_LOCALITE;LIEU-DIT;ALTITUDE;HABITAT;REMARQUE_STATION;FAMILLE;LB_NOM;NOM_VALIDE;CD_COLLECTION;NOM_CITE;male;femelle;ABONDANCE_TOTALE;remarque;A VERIFIER/PHOTO;DETERMINATEUR;MASSE;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Brachinus sclopeta;Brachinus sclopeta (Fabricius, 1792);LABR-72;Brachinus sclopeta;1;;1;oui;;L.ABRAHAM;9.1;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-73;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;83;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-74;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;93;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-75;Poecilus sericeus;;1;1;oyi;;L.ABRAHAM;89;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus versicolor;Poecilus versicolor (Sturm, 1824);LABR-76;Poecilus versicolor;1;;1;oui;;L.ABRAHAM;91;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-77;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;101;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-78;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;92;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-79;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;103;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-80;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;116;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-81;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;91;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-82;Poecilus sericeus;1;;1;oui;;L.ABRAHAM;68;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-83;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;104;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-84;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;125;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-85;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;129;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Poecilus sericeus;Poecilus sericeus Fischer von Waldheim, 1824;LABR-86;Poecilus sericeus;;1;1;oui;;L.ABRAHAM;144;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Calathus fuscipes;Calathus fuscipes (Goeze, 1777);LABR-87;Calathus fuscipes;;1;1;oui;;L.ABRAHAM;59;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Calathus fuscipes;Calathus fuscipes (Goeze, 1777);LABR-88;Calathus fuscipes;;1;1;oui;;L.ABRAHAM;121;
ALPES-DE-HAUTE-PROVENCE;4;Puimoisson;;712;ouvert;;Carabidae;Calathus fuscipes;Calathus fuscipes (Goeze, 1777);LABR-89;Calathus fuscipes;;1;1;oui;;L.ABRAHAM;94;
