no_campagne;id_site;date_complete;insee_commune;nom_commune;code_dept;site_officiel;x_theo;y_theo;classe_mat1p_million_dexpert;libelle_mat1p_million_dexpert;classe_mat2p_million_dexpert;libelle_mat2p_million_dexpert;classe_mat3p_million_dexpert;libelle_mat3p_million_dexpert;rp_95_nom;rp_2008_nom;rp_95_ger;signific_ger_95;rp_2008_ger;signific_ger_2008;occupation1;desc_code_occupation1;occupation3;desc_code_occupation3
1;88;25/06/2002;59012;ANOR;59;True;779314.94;6988197.21;521;Loess;ND;ND;ND;ND;BRUNISOL luvique redoxique issu de loess ou neoluvisol redoxique;ND;16;BRUNISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;91;20/03/2007;8214;HARGNIES;8;True;827287.49;6987787.45;ND;ND;ND;ND;ND;ND;BRUNISOL OLIGOSATURE REDOXIQUE redoxique limoneux caillouteux a  dysmoder;ND;18;BRUNISOL OLIGO-SATURE;ND;ND;3;surfaces boisees;312;forets de coniferes
1;95;16/11/2007;76613;SAINT-MARTIN-AUX-BUNEAUX;76;True;523327.54;6974354.65;510;Residual loam;331;Clay-with-flints;ND;ND;LUVISOL a  tendance redoxique;ND;69;LUVISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;96;20/12/2005;76336;GUEUTTEVILLE-LES-GRES;76;True;539318.19;6974222.11;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL issu de limons sous prairie de plateau;ND;77;NEOLUVISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;97;19/12/2006;76690;THIL-MANNEVILLE;76;True;555308.85;6974089.31;521;Loess;ND;ND;ND;ND;NEOLUVISOL issu de loess;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;98;09/10/2007;76210;DAMPIERRE-SAINT-NICOLAS;76;True;571299.56;6973956.29;310;Old clayey sedimentary deposits;ND;ND;ND;ND;LUVISOL-REDOXISOL sur argile;ND;75;LUVISOL-REDOXISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;99;10/10/2006;76392;LONDINIERES;76;True;587290.3;6973823.1;220;Secondary chalk;ND;ND;ND;ND;CALCOSOL limoneux cultive issu de la craie, en situation de versant;ND;27;CALCOSOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;100;09/11/2006;76154;CAMPNEUSEVILLE;76;True;603280.96;6973689.67;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL issu de limon des plateaux;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;101;25/02/2004;80443;HORNOY-LE-BOURG;80;True;619271.68;6973556.02;510;Residual loam;ND;ND;ND;ND;BRUNISOL limono-argileux peu caillouteux amende en surface, issu de limons de  plateau, cultive;ND;16;BRUNISOL;ND;ND;1;successions culturales;120;grandes cultures et prairies courte duree
1;102;09/10/2003;80319;FLUY;80;True;635262.48;6973422.17;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL limoneux sain issu de limon plateaux cultive;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;111;monoculture
1;103;09/12/2003;80021;AMIENS;80;True;651253.36;6973288.11;510;Residual loam;220;Secondary chalk;ND;ND;CALCOSOL limoneux decarbonate en surface issu de materiau d'alteration limoneux remanie sur craie;ND;27;CALCOSOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;104;07/10/2003;80507;MARCELCAVE;80;True;667244.17;6973153.71;510;Residual loam;ND;ND;ND;ND;BRUNISOL peu differencie limono-argileux, sain, epais, battant, issu de limons de plateau, cultive.;ND;16;BRUNISOL;ND;ND;1;successions culturales;113;systeme de rotations sans prairie avec interculture
1;105;16/12/2003;80432;HERLEVILLE;80;True;683234.92;6973019.01;510;Residual loam;ND;ND;ND;ND;BRUNISOL luvique limoneux issu de limon des plateaux, a  2 niveaux de labour, cultive;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;106;24/03/2004;80034;ATHIES;80;True;699225.53;6972884.22;150;Colluvium;ND;ND;ND;ND;CALCOSOL limono-argileux epais issu de colluvions carbonates sur craie en jachere;ND;27;CALCOSOL;ND;ND;1;successions culturales;150;jachere fixe
1;107;28/10/2003;2382;HOLNON;2;True;715216.21;6972749.2;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL limoneux a  limono-argileux sain issu de loess en bas de versant cultive;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;108;29/10/2003;2636;REGNY;2;True;731206.91;6972613.89;510;Residual loam;220;Secondary chalk;ND;ND;CALCISOL limono-argileux issu d'un limon sur diluvium crayeux, en bas de versant, cultive;ND;24;CALCISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;109;21/10/2003;2629;PUISIEUX-ET-CLANLIEU;2;True;747197.57;6972478.25;520;Eolian loam;ND;ND;ND;ND;LUVISOL erode limono-argileux a  drainage modere issu d'un loess en plateau, cultive;ND;69;LUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;110;21/08/2003;2321;FONTAINE-LES-VERVINS;2;True;763188.2;6972342.4;520;Eolian loam;ND;ND;ND;ND;LUVISOL limoneux a  drainage imparfait issu d'un loess sur plateau cultive;ND;69;LUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;111;27/05/2003;2079;BESMONT;2;True;779178.83;6972206.33;520;Eolian loam;ND;ND;ND;ND;LUVISOL degrade limoneux hydromorphe issu d'un loess cultive au tiers sup versant;ND;70;LUVISOL DEGRADE;ND;ND;1;successions culturales;111;monoculture
1;112;29/04/2008;8015;ANTHENY;8;True;795169.48;6972069.99;310;Old clayey sedimentary deposits;210;Limestone;ND;ND;BRUNISOL sature issu d'argile reposant sur calcaire dur;ND;20;BRUNISOL SATURE;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;113;25/04/2008;8365;RIMOGNE;8;True;811160.1;6971933.45;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL legerement redoxique (tendance glossique) issu de limon de plateau;ND;77;NEOLUVISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;114;17/06/2008;8237;JOIGNY-SUR-MEUSE;8;True;827150.64;6971796.71;513;Clay loam;740;Schists;ND;ND;BRUNISOL humifere oligosature issu de schiste altere et de limons argileux;ND;16;BRUNISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;118;31/10/2006;50173;EQUEURDREVILLE-HAINNEVILLE;50;True;363292.5;6959679.38;711;Granite;ND;ND;ND;ND;BRUNISOL sur granite, peu profond;ND;16;BRUNISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;119;12/05/2006;50101;CARNEVILLE;50;True;379282.81;6959548.77;510;Residual loam;500;Loamy materials;ND;ND;BRUNISOL limoneux faiblement lessive, de versant, sur galets entoures de limon argileux;ND;16;BRUNISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
1;122;14/12/2006;76300;GERVILLE;76;True;507204.66;6958496.41;521;Loess;ND;ND;ND;ND;NEOLUVISOL;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;123;13/06/2006;76680;SORQUAINVILLE;76;True;523195.07;6958364.06;521;Loess;ND;ND;ND;ND;NEOLUVISOL issu de limons eoliens, cultive, a  drainage favorable, en situation de plateau;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;124;15/12/2005;76340;HARCANVILLE;76;True;539185.5;6958231.51;510;Residual loam;ND;ND;ND;ND;NEOLUVISOL redoxique issu de limon, cultive, a  drainage imparfait, en situation de versant;ND;77;NEOLUVISOL;ND;ND;1;successions culturales;112;systeme de rotations sans prairie sans interculture
1;125;20/06/2006;76072;BELLEVILLE-EN-CAUX;76;True;555175.93;6958098.74;521;Loess;ND;ND;ND;ND;LUVISOL typique issu de limons eoliens, sous prairie, dans le talweg;ND;73;LUVISOL TYPIQUE;ND;ND;1;successions culturales;120;grandes cultures et prairies courte duree
1;126;08/03/2007;76070;BELLENCOMBRE;76;True;571166.45;6957965.78;330;Residual clay from calcareous rocks;ND;ND;ND;ND;ALOCRISOL  pierrique en pente issu de colluvions (?)  d'un materiau a  silex d'alteration de la craie;ND;1;ALOCRISOL;ND;ND;3;surfaces boisees;311;forets caducifoliees
1;127;27/06/2006;76465;NEUVILLE-FERRIERES;76;True;587156.96;6957832.56;150;Colluvium;ND;ND;ND;ND;REDOXISOL A SUBSTRAT MEUBLE;ND;116;REDOXISOL;ND;ND;2;surfaces toujours en herbe;220;STH > 10 ans naturelle ou semee
