scenario_family,scenario,baseline_scenario,unit_type,iter,inference,stability,inference_label
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,coverage_chao_cor,0.9993762196653646,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,bray_curtis_cor,0.994298551002775,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,jaccard_pa_cor,0.9825309802405644,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,sorensen_pa_cor,0.9848509268639846,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,8,procrustes_r2,0.9897877994334576,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,q0_cor,0.9913672181225086,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,q1_cor,0.9853796922717251,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,q2_cor,0.9795196366992475,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,coverage_chao_cor,0.9992622538171998,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,bray_curtis_cor,0.9913014047537003,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,jaccard_pa_cor,0.9844726995844096,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,sorensen_pa_cor,0.9860529692034404,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,9,procrustes_r2,0.9850149127216954,ordination Procrustes R2
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,abundance_cor,1,total abundance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,q0_cor,0.9935316243857792,q0 richness / number of units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,q1_cor,0.9891102586732875,Hill q1 / effective units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,q2_cor,0.9880847623954816,Hill q2 / dominant units
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,coverage_chao_cor,0.9991152194091051,sample coverage Chao
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,bray_curtis_cor,0.9970600630327315,Bray-Curtis abundance distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,jaccard_pa_cor,0.9897386119582868,Jaccard presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,sorensen_pa_cor,0.9910544009264047,Sørensen presence-absence distance
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,species_units,10,procrustes_r2,0.9978394692108588,ordination Procrustes R2
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,species_units,1,abundance_cor,1,total abundance
