scenario_family,scenario,baseline_scenario,iter,term,df,sumsq,r2,f,p,n_units,n_taxa,model
species_error_strict,species_same_genus_observed_5pct,species_baseline,8,mos,1,0.5621370305764728,0.021282124005166297,1.4005450781022284,0.05,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,8,p_h,1,0.4822642839394504,0.01825819637524459,1.2015448769194852,0.27,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,9,t360_mean,1,0.3353878344744352,0.012672286293321717,0.8334962096922889,0.71,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,9,mos,1,0.5670969418757288,0.02142717792605039,1.409333025815334,0.1,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,9,p_h,1,0.4776173072646266,0.018046281451404595,1.1869608088567922,0.23,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,10,t360_mean,1,0.3516679299159975,0.013329062193434797,0.8772290571640446,0.68,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,10,mos,1,0.5688813746759038,0.021561975314476543,1.419063922218707,0.08,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_5pct,species_baseline,10,p_h,1,0.4695073372066716,0.017795459766253213,1.1711772490820858,0.19,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,1,t360_mean,1,0.34601435942382963,0.013091426171969081,0.8616372663976246,0.79,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,1,mos,1,0.5754489790245181,0.021772067023978086,1.4329702561004254,0.05,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,1,p_h,1,0.4761419114467884,0.0180147919047795,1.1856780038825647,0.24,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,2,t360_mean,1,0.3534330604535789,0.013364015124098745,0.8788164269878043,0.71,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,2,mos,1,0.5596124982884128,0.021160074502264353,1.3914845872437445,0.13,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,2,p_h,1,0.4608181849167998,0.01742446273923689,1.1458310952570834,0.29,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,3,t360_mean,1,0.3641091297210721,0.013839807877473699,0.9122130767399892,0.61,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,3,mos,1,0.554667871442394,0.021082956042466273,1.389625374032484,0.06,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,3,p_h,1,0.5038845992191803,0.019152681095784403,1.2623965812879847,0.17,66,51,multivariate_margin
species_error_strict,species_same_genus_observed_rare_weighted_mean_10pct,species_baseline,4,t360_mean,1,0.3339456507848233,0.012679806599211496,0.8337491529921964,0.72,66,51,multivariate_margin
