scenario_family,scenario,baseline_scenario,alpha_metric,term,estimate_mean,estimate_sd,p_median,p_prop_lt_005,adj_r2_mean,n_iter,n_valid
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q2,mos,0.03990231884661462,0.0025663613747607143,0.39467612611953234,0,-0.03512759406250228,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q2,ph,-0.0017259992744598962,0.003145775307771639,0.9557838166058334,0,-0.03512759406250228,10,10
species_error_strict,species_difficult_genera_observed_20pct,species_baseline,q2,t360_mean,0.009199152688380534,0.002959548723853208,0.8558407277392043,0,-0.03512759406250228,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,coverage_chao,mos,0.023692394911644047,0.0015379456831407462,0.2104606319033046,0,0.03578925819464538,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,coverage_chao,ph,-0.02162165145967019,9.882764562363095e-4,0.2785537900863654,0,0.03578925819464538,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,coverage_chao,t360_mean,0.0400220093886948,0.001034963454336549,0.048004994854694366,0.6,0.03578925819464538,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q0,mos,0.09635516808572188,0.008986247005981406,0.14992290119041551,0,-0.01315375277571027,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q0,ph,0.01920712845131583,0.005395825536711511,0.7972705073924717,0,-0.01315375277571027,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q0,t360_mean,0.019589582448344217,0.0054272375389400355,0.7725470878894707,0,-0.01315375277571027,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q1,mos,0.06060888998941685,0.0067573393719088035,0.270888719412432,0,-0.02568048299049557,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q1,ph,0.017812830728777717,0.002946380067883274,0.7414351151263244,0,-0.02568048299049557,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q1,t360_mean,-0.004639084955616041,0.004362447389942836,0.9388469255502057,0,-0.02568048299049557,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q2,mos,0.05121137291629748,0.005685285552019475,0.2920267771403062,0,-0.0271762738179268,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q2,ph,-2.2867698813057625e-4,0.004251973190730929,0.9555452282421839,0,-0.0271762738179268,10,10
species_error_strict,species_difficult_genera_taxref_mainland_20pct,species_baseline,q2,t360_mean,0.0046864295673179545,0.0044356066505305556,0.947012643079029,0,-0.0271762738179268,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,coverage_chao,mos,0.02570072201225811,0.0026422784858484345,0.20282851665477458,0,0.03614504663079491,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,coverage_chao,ph,-0.02351341366292998,0.002810463125102689,0.23596134162394622,0,0.03614504663079491,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,coverage_chao,t360_mean,0.03788482876444302,0.0035742779235696785,0.07410580138079079,0.4,0.03614504663079491,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q0,mos,0.08849154501478246,0.009539790667879704,0.19622970306103965,0,-0.0150957502872066,10,10
species_error_strict,species_same_genus_observed_10pct,species_baseline,q0,ph,0.016212060167534664,0.007732627086035782,0.7819735867098216,0,-0.0150957502872066,10,10
