varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,metric,n_replicates,relative_delta_med,relative_delta_p10,relative_delta_p90
mean_genera_per_family,Mean genera per family,1.5,1.5,id_observed_uniform_5pct,Observed-pool congeneric error,identification_error,observed_uniform,identification_error_rate,0.05,    5%,mean_sorensen,5,-3.2668342202324983,-4.062188759883799,-2.5320234717301693
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,alpha_q0,5,64.9859943977591,60.89094112942081,66.89065014362413
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,alpha_q1,5,33.24514762593587,31.65777978150613,33.70676314544261
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,alpha_q2,5,19.822904771553773,18.190744120920836,20.368372141736863
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,gamma,5,151.28205128205127,137.40259740259742,168.7578947368421
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,mean_bray_curtis,5,0.21734576198049074,0.08129084715163895,0.5311559654548258
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,mean_jaccard,5,3.836147195084635,3.437607620636628,4.922874663314033
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,mean_occupancy,5,-35.64842460219889,-38.32020856009782,-30.7156530893229
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_10pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.1,   10%,mean_sorensen,5,6.352740558484839,5.635207351022492,8.1838820679236
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,alpha_q0,5,8.08950086058519,6.975773793984709,9.241798414280966
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,alpha_q1,5,3.1506473674591158,2.751174630756991,3.5705785297450543
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,alpha_q2,5,1.664431396150544,1.562916876627828,1.9844324690592958
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,gamma,5,53.246753246753244,52.49870129870129,64.68286099865047
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,mean_bray_curtis,5,0.12477174800064296,0.11349275617658602,0.13789377908555303
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,mean_jaccard,5,1.5436496565479323,1.3600321872539505,1.6308445365819542
mean_genera_per_family,Mean genera per family,1.5,1.5,id_regional_difficult_bias_1pct,Difficult-genus regional-pool error,identification_error,regional_difficult_bias,identification_error_rate,0.01,    1%,mean_occupancy,5,-30.140190056317962,-33.90958049691597,-29.01808809471895
