varied_parameter,factor_label,factor_value,factor_value_label,scenario,scenario_label,scenario_domain,mechanism,intensity_type,requested_intensity,intensity_label,n_replicates,alpha_q0_spearman_med,bray_spearman_med,jaccard_spearman_med,sorensen_spearman_med
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_20pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.2,   20%,5,0.9482438516108149,0.9648094569405754,0.8677949582427331,0.8677949582427331
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_3pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.03,    3%,5,0.91029963287465,0.9956984583140294,0.9317300773431743,0.9317300773431743
mean_genera_per_family,Mean genera per family,2,2,workflow_drop_unresolved_5pct,Dropping unresolved records,reporting_workflow,drop_unresolved,unresolved_reporting_rate,0.05,    5%,5,0.919642361393491,0.992407897535342,0.9019468994113083,0.9019468994113083
mean_genera_per_family,Mean genera per family,2,2,workflow_family_level,Family-level aggregation,fixed_workflow,family_level,fixed_workflow,NA,fixed,5,0.48933202536762405,0.23970304863159383,0.354938221381474,0.354938221381474
mean_genera_per_family,Mean genera per family,2,2,workflow_genus_level,Genus-level aggregation,fixed_workflow,genus_level,fixed_workflow,NA,fixed,5,0.9269442743318217,0.7956097438729803,0.7424453433583023,0.7424453433583023
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_10pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.1,   10%,5,0.9230871332289449,0.9916224161195223,0.8760965982925694,0.8760965982925694
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_1pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.01,    1%,5,0.9455986033875532,0.9991486304062952,0.9802726110757317,0.9802726110757317
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_20pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.2,   20%,5,0.9414677226278937,0.981103529105693,0.8801885886128479,0.8801885886128479
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_3pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.03,    3%,5,0.939819272304576,0.9976352962879748,0.9345101175858287,0.9345101175858287
mean_genera_per_family,Mean genera per family,2,2,workflow_mixed_rtu_5pct,Mixed RTU reporting,reporting_workflow,mixed_rtu,unresolved_reporting_rate,0.05,    5%,5,0.9188857095787226,0.9960920232461241,0.9089738018761996,0.9089738018761996
