requested_mean_error,realised_mean_error,candidate_pool,rarity_exponent,difficulty_multiplier,n_eligible_source_species,n_moved_individuals,workflow,realised_unresolved_rate,world_id,replicate_id,scenario
0,0,observed,0,1,0,0,mixed_rtu,0.19696250593260556,7,1,mixed_rtu_reporting
0,0,observed,0,1,0,0,drop_unresolved,0.19610821072615092,7,1,drop_unresolved
0,0,observed,0,1,0,0,rare_to_genus,0.019411485524442336,7,1,rare_species_to_genus
0,0,observed,0,1,0,0,difficult_to_genus,0.34437588989084006,7,1,difficult_genera_to_genus
0,0,observed,0,1,0,0,genus,NA,7,1,genus_level
0,0,observed,0,1,0,0,family,NA,7,1,family_level
0.1,0,observed,0,1,0,0,species,0,7,2,observed_congeneric_error
0.1,0,regional,0,1,0,0,species,0,7,2,regional_congeneric_error
0.1,0,observed,0.5,1,0,0,species,0,7,2,rare_weighted_error
0,0,observed,0,1,0,0,mixed_rtu,0.2008230058854491,7,2,mixed_rtu_reporting
0,0,observed,0,1,0,0,drop_unresolved,0.19809560266041437,7,2,drop_unresolved
0,0,observed,0,1,0,0,rare_to_genus,0.02378104215512704,7,2,rare_species_to_genus
0,0,observed,0,1,0,0,difficult_to_genus,0.3599693765251926,7,2,difficult_genera_to_genus
0,0,observed,0,1,0,0,genus,NA,7,2,genus_level
0,0,observed,0,1,0,0,family,NA,7,2,family_level
0.1,0,observed,0,1,0,0,species,0,7,3,observed_congeneric_error
0.1,0,regional,0,1,0,0,species,0,7,3,regional_congeneric_error
0.1,0,observed,0.5,1,0,0,species,0,7,3,rare_weighted_error
0,0,observed,0,1,0,0,mixed_rtu,0.1988041138483616,7,3,mixed_rtu_reporting
0,0,observed,0,1,0,0,drop_unresolved,0.20353982300884954,7,3,drop_unresolved
0,0,observed,0,1,0,0,rare_to_genus,0.014494140157856971,7,3,rare_species_to_genus
0,0,observed,0,1,0,0,difficult_to_genus,0.2778282707486247,7,3,difficult_genera_to_genus
0,0,observed,0,1,0,0,genus,NA,7,3,genus_level
0,0,observed,0,1,0,0,family,NA,7,3,family_level
0.1,0,observed,0,1,0,0,species,0,7,4,observed_congeneric_error
0.1,0,regional,0,1,0,0,species,0,7,4,regional_congeneric_error
0.1,0,observed,0.5,1,0,0,species,0,7,4,rare_weighted_error
0,0,observed,0,1,0,0,mixed_rtu,0.19453292132160682,7,4,mixed_rtu_reporting
0,0,observed,0,1,0,0,drop_unresolved,0.20080817684811025,7,4,drop_unresolved
0,0,observed,0,1,0,0,rare_to_genus,0.01312098882814357,7,4,rare_species_to_genus
0,0,observed,0,1,0,0,difficult_to_genus,0.30820061801758974,7,4,difficult_genera_to_genus
0,0,observed,0,1,0,0,genus,NA,7,4,genus_level
0,0,observed,0,1,0,0,family,NA,7,4,family_level
0.1,0,observed,0,1,0,0,species,0,7,5,observed_congeneric_error
0.1,0,regional,0,1,0,0,species,0,7,5,regional_congeneric_error
0.1,0,observed,0.5,1,0,0,species,0,7,5,rare_weighted_error
0,0,observed,0,1,0,0,mixed_rtu,0.2015210836596013,7,5,mixed_rtu_reporting
0,0,observed,0,1,0,0,drop_unresolved,0.20102605643310378,7,5,drop_unresolved
0,0,observed,0,1,0,0,rare_to_genus,0.01269069798838936,7,5,rare_species_to_genus
0,0,observed,0,1,0,0,difficult_to_genus,0.2823905314792314,7,5,difficult_genera_to_genus
0,0,observed,0,1,0,0,genus,NA,7,5,genus_level
0,0,observed,0,1,0,0,family,NA,7,5,family_level
0.1,0.059872217642209395,observed,0,1,172,2324,species,0,8,1,observed_congeneric_error
0.1,0.09034934047815334,regional,0,1,251,3507,species,0,8,1,regional_congeneric_error
0.1,0.06098000824402308,observed,0.5,1,172,2367,species,0,8,1,rare_weighted_error
0,0,observed,0,1,172,0,mixed_rtu,0.1997629843363561,8,1,mixed_rtu_reporting
0,0,observed,0,1,172,0,drop_unresolved,0.20027823577906023,8,1,drop_unresolved
0,0,observed,0,1,172,0,rare_to_genus,0.03328524319868096,8,1,rare_species_to_genus
0,0,observed,0,1,172,0,difficult_to_genus,0.10781636438582028,8,1,difficult_genera_to_genus
0,0,observed,0,1,172,0,genus,NA,8,1,genus_level
0,0,observed,0,1,172,0,family,NA,8,1,family_level
0.1,0.05942150492559212,observed,0,1,167,2268,species,0,8,2,observed_congeneric_error
0.1,0.08729826032278348,regional,0,1,250,3332,species,0,8,2,regional_congeneric_error
0.1,0.06172710123663802,observed,0.5,1,167,2356,species,0,8,2,rare_weighted_error
0,0,observed,0,1,167,0,mixed_rtu,0.19833368266610774,8,2,mixed_rtu_reporting
0,0,observed,0,1,167,0,drop_unresolved,0.1993292810731503,8,2,drop_unresolved
0,0,observed,0,1,167,0,rare_to_genus,0.029448752881995388,8,2,rare_species_to_genus
