world_id,varied_parameter,factor_label,factor_value,factor_value_label,n_regional_species...6,n_genera...7,n_families...8,difficult_genus_fraction,n_sites,n_observed_species,occupancy_mean,occupancy_precision,mean_abundance,abundance_nb_size,occupancy_abundance_slope,observed_selection_bias,environmental_gradient_strength,regional_observed_ratio_input,mean_species_per_genus_input,mean_genera_per_family_input,occupancy_mean_input,mean_species_per_family_input,replicate_id,n_regional_species...25,n_genera...26,n_families...27,mean_species_per_genus,cv_species_per_genus,prop_monotypic_genera,mean_genera_per_family,cv_genera_per_family,prop_difficult_genera,true_alpha_q0,true_gamma,true_mean_occupancy,true_mean_bray_curtis
8,mean_species_per_genus,Mean species per genus,8,8,320,40,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,8,4,0.2,32,5,320,40,6,8,0.6031434748731443,0.05,6.666666666666667,2.082066281365701,0.2,19.97142857142857,77,0.2593692022263451,0.7471221728568325
9,mean_genera_per_family,Mean genera per family,1.5,1.5,320,80,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,1.5,0.2,6.037735849056604,1,320,80,17,4,0.6438609803562539,0.2375,4.705882352941177,2.9757253580009695,0.2,17.7,76,0.23289473684210527,0.7972390474379589
9,mean_genera_per_family,Mean genera per family,1.5,1.5,320,80,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,1.5,0.2,6.037735849056604,2,320,80,15,4,0.6843642527044694,0.1875,5.333333333333333,3.0953053449654093,0.2,16.1,75,0.21466666666666667,0.7821590125700371
9,mean_genera_per_family,Mean genera per family,1.5,1.5,320,80,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,1.5,0.2,6.037735849056604,3,320,80,18,4,0.658440812676028,0.175,4.444444444444445,3.2323275168940704,0.2,18.014285714285716,77,0.23395176252319108,0.8014924982580462
9,mean_genera_per_family,Mean genera per family,1.5,1.5,320,80,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,1.5,0.2,6.037735849056604,4,320,80,20,4,0.5913404639493204,0.15,4,3.178877656956105,0.2,15.3,77,0.1987012987012987,0.815206842651399
9,mean_genera_per_family,Mean genera per family,1.5,1.5,320,80,53,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,1.5,0.2,6.037735849056604,5,320,80,20,4,0.6499756567982986,0.1625,4,3.178877656956105,0.2,16.6,78,0.21282051282051281,0.7959836665362221
10,mean_genera_per_family,Mean genera per family,2,2,320,80,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,2,0.2,8,1,320,80,21,4,0.8190763553841407,0.1875,3.8095238095238093,3.2613647450108982,0.2,14.585714285714285,73,0.19980430528375734,0.8217957042867687
10,mean_genera_per_family,Mean genera per family,2,2,320,80,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,2,0.2,8,2,320,80,19,4,0.5873131267567238,0.1875,4.2105263157894735,3.1523635312782905,0.2,19.042857142857144,80,0.2380357142857143,0.7845835476939179
10,mean_genera_per_family,Mean genera per family,2,2,320,80,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,2,0.2,8,3,320,80,18,4,0.7048655496177797,0.175,4.444444444444445,3.064922511255382,0.2,16.685714285714287,78,0.2139194139194139,0.8250397958229707
10,mean_genera_per_family,Mean genera per family,2,2,320,80,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,2,0.2,8,4,320,80,19,4,0.6162360225133208,0.2,4.2105263157894735,3.2666002331680155,0.2,17.057142857142857,78,0.21868131868131868,0.7813355812935969
10,mean_genera_per_family,Mean genera per family,2,2,320,80,40,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,2,0.2,8,5,320,80,18,4,0.7048655496177797,0.1375,4.444444444444445,3.177505958711495,0.2,15.414285714285715,77,0.20018552875695733,0.823326935015081
11,mean_genera_per_family,Mean genera per family,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,1,320,80,15,4,0.6773926184227806,0.175,5.333333333333333,2.787087573589525,0.2,16.585714285714285,75,0.22114285714285714,0.798140332064908
11,mean_genera_per_family,Mean genera per family,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,2,320,80,14,4,0.6878235717266346,0.1125,5.714285714285714,2.741700763563208,0.2,14.385714285714286,75,0.19180952380952382,0.8276879443522087
11,mean_genera_per_family,Mean genera per family,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,3,320,80,14,4,0.6289432567832846,0.1625,5.714285714285714,2.8865237277336266,0.2,17.4,78,0.22307692307692306,0.8039951128972861
11,mean_genera_per_family,Mean genera per family,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,4,320,80,14,4,0.6727047239091013,0.175,5.714285714285714,2.637470378980587,0.2,16.771428571428572,76,0.2206766917293233,0.7978302130398295
11,mean_genera_per_family,Mean genera per family,4,4,320,80,20,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,4,0.2,16,5,320,80,15,4,0.6596412527112605,0.1625,5.333333333333333,2.6304153324957205,0.2,16.97142857142857,77,0.22040816326530613,0.8024338950154273
12,mean_genera_per_family,Mean genera per family,8,8,320,80,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,8,0.2,32,1,320,80,8,4,0.6058783768999656,0.15,10,2.150747378404606,0.2,16.557142857142857,76,0.21785714285714286,0.8086103336148046
12,mean_genera_per_family,Mean genera per family,8,8,320,80,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,8,0.2,32,2,320,80,11,4,0.7845421143023006,0.2,7.2727272727272725,2.4100505700088535,0.2,16.285714285714285,76,0.21428571428571427,0.7946687601935746
12,mean_genera_per_family,Mean genera per family,8,8,320,80,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,8,0.2,32,3,320,80,10,4,0.7630717404102043,0.175,8,2.075819784513525,0.2,16.32857142857143,78,0.20934065934065935,0.7945928430019938
12,mean_genera_per_family,Mean genera per family,8,8,320,80,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,8,0.2,32,4,320,80,9,4,0.5940101861633542,0.1125,8.88888888888889,2.0331433483647925,0.2,13.785714285714286,77,0.17903525046382188,0.8218155950737632
12,mean_genera_per_family,Mean genera per family,8,8,320,80,10,0.2,70,80,0.2,6,8,1.5,0.6,0,0,4,4,8,0.2,32,5,320,80,11,4,0.6032611794512485,0.1625,7.2727272727272725,2.2282560445334822,0.2,14.2,78,0.18205128205128204,0.8277214690177656
13,occupancy_mean,Initial mean occupancy,0.05,0.05,320,80,20,0.2,70,80,0.05,6,8,1.5,0.6,0,0,4,4,4,0.05,16,1,320,80,10,4,0.6715276368762552,0.1625,8,2.3325891670464007,0.2,5.130434782608695,41,0.12334494773519164,0.8445352108401727
13,occupancy_mean,Initial mean occupancy,0.05,0.05,320,80,20,0.2,70,80,0.05,6,8,1.5,0.6,0,0,4,4,4,0.05,16,2,320,80,14,4,0.6019483135219325,0.15,5.714285714285714,2.7408413924307147,0.2,4.1,45,0.09111111111111111,0.9208150359501727
13,occupancy_mean,Initial mean occupancy,0.05,0.05,320,80,20,0.2,70,80,0.05,6,8,1.5,0.6,0,0,4,4,4,0.05,16,3,320,80,17,4,0.8132603550298583,0.2,4.705882352941177,2.5453081836979976,0.2,3.130434782608696,42,0.07346938775510203,0.9274458763085425
13,occupancy_mean,Initial mean occupancy,0.05,0.05,320,80,20,0.2,70,80,0.05,6,8,1.5,0.6,0,0,4,4,4,0.05,16,4,320,80,16,4,0.6524054808111326,0.1,5,2.9879759035172957,0.2,3.757142857142857,43,0.08737541528239202,0.8199408073307285
13,occupancy_mean,Initial mean occupancy,0.05,0.05,320,80,20,0.2,70,80,0.05,6,8,1.5,0.6,0,0,4,4,4,0.05,16,5,320,80,16,4,0.7733700704208721,0.2,5,2.8303121147086707,0.2,3.074626865671642,42,0.07006802721088436,0.870849229824919
14,occupancy_mean,Initial mean occupancy,0.15,0.15,320,80,20,0.2,70,80,0.15,6,8,1.5,0.6,0,0,4,4,4,0.15,16,1,320,80,15,4,0.7515806129228714,0.2,5.333333333333333,2.7861864297689363,0.2,12.2,69,0.17681159420289855,0.833651828315247
14,occupancy_mean,Initial mean occupancy,0.15,0.15,320,80,20,0.2,70,80,0.15,6,8,1.5,0.6,0,0,4,4,4,0.15,16,2,320,80,14,4,0.5846128222154678,0.125,5.714285714285714,2.6887765304631084,0.2,12.257142857142858,76,0.1612781954887218,0.8090592952871732
14,occupancy_mean,Initial mean occupancy,0.15,0.15,320,80,20,0.2,70,80,0.15,6,8,1.5,0.6,0,0,4,4,4,0.15,16,3,320,80,13,4,0.6843642527044694,0.1375,6.153846153846154,2.681534075860309,0.2,12.628571428571428,74,0.17065637065637065,0.8201674007928003
14,occupancy_mean,Initial mean occupancy,0.15,0.15,320,80,20,0.2,70,80,0.15,6,8,1.5,0.6,0,0,4,4,4,0.15,16,4,320,80,15,4,0.6808873584791458,0.125,5.333333333333333,2.888844770343823,0.2,14,71,0.19718309859154928,0.8063895408517723
14,occupancy_mean,Initial mean occupancy,0.15,0.15,320,80,20,0.2,70,80,0.15,6,8,1.5,0.6,0,0,4,4,4,0.15,16,5,320,80,15,4,0.6238914219069805,0.1375,5.333333333333333,2.838864524015594,0.2,11.457142857142857,75,0.15276190476190477,0.8281466761686967
15,occupancy_mean,Initial mean occupancy,0.3,0.3,320,80,20,0.2,70,80,0.3,6,8,1.5,0.6,0,0,4,4,4,0.3,16,1,320,80,13,4,0.6524054808111326,0.0625,6.153846153846154,2.779055782395644,0.2,23.314285714285713,79,0.29511754068716095,0.7593245672164913
15,occupancy_mean,Initial mean occupancy,0.3,0.3,320,80,20,0.2,70,80,0.3,6,8,1.5,0.6,0,0,4,4,4,0.3,16,2,320,80,16,4,0.6958284380433681,0.1375,5,2.722743714221618,0.2,21.114285714285714,79,0.26726943942133813,0.7756049675352464
15,occupancy_mean,Initial mean occupancy,0.3,0.3,320,80,20,0.2,70,80,0.3,6,8,1.5,0.6,0,0,4,4,4,0.3,16,3,320,80,13,4,0.688972818261938,0.1625,6.153846153846154,2.6326723194629946,0.2,22.985714285714284,80,0.28732142857142856,0.7503052507528505
15,occupancy_mean,Initial mean occupancy,0.3,0.3,320,80,20,0.2,70,80,0.3,6,8,1.5,0.6,0,0,4,4,4,0.3,16,4,320,80,15,4,0.782522697531451,0.2,5.333333333333333,2.7370841171373805,0.2,22.442857142857143,78,0.2877289377289377,0.7663710793929344
15,occupancy_mean,Initial mean occupancy,0.3,0.3,320,80,20,0.2,70,80,0.3,6,8,1.5,0.6,0,0,4,4,4,0.3,16,5,320,80,12,4,0.8044575182905417,0.2125,6.666666666666667,2.5256862253832937,0.2,24.357142857142858,79,0.30831826401446655,0.7482914945893465
16,occupancy_mean,Initial mean occupancy,0.5,0.5,320,80,20,0.2,70,80,0.5,6,8,1.5,0.6,0,0,4,4,4,0.5,16,1,320,80,14,4,0.5940101861633542,0.1625,5.714285714285714,2.687023660827376,0.2,39.67142857142857,80,0.49589285714285714,0.6635642180758107
16,occupancy_mean,Initial mean occupancy,0.5,0.5,320,80,20,0.2,70,80,0.5,6,8,1.5,0.6,0,0,4,4,4,0.5,16,2,320,80,16,4,0.5395732021758763,0.0875,5,2.8303121147086707,0.2,42.92857142857143,80,0.5366071428571428,0.6688883036127596
16,occupancy_mean,Initial mean occupancy,0.5,0.5,320,80,20,0.2,70,80,0.5,6,8,1.5,0.6,0,0,4,4,4,0.5,16,3,320,80,15,4,0.7578701000881318,0.15,5.333333333333333,2.8379798209793026,0.2,42.17142857142857,80,0.5271428571428571,0.6549461966707045
16,occupancy_mean,Initial mean occupancy,0.5,0.5,320,80,20,0.2,70,80,0.5,6,8,1.5,0.6,0,0,4,4,4,0.5,16,4,320,80,16,4,0.801501755014385,0.175,5,2.724701818548224,0.2,39.22857142857143,80,0.4903571428571428,0.6753003381269066
16,occupancy_mean,Initial mean occupancy,0.5,0.5,320,80,20,0.2,70,80,0.5,6,8,1.5,0.6,0,0,4,4,4,0.5,16,5,320,80,13,4,0.5913404639493204,0.1125,6.153846153846154,2.779055782395644,0.2,40.91428571428571,80,0.5114285714285715,0.6507271833279045
