site_id,species,psi_hat
RMQS_25_MELLERAY_680,Araeoncus humilis,0.28720955159806305
RMQS_25_MONPEZAT_2099,Araeoncus humilis,0.28720955159806305
RMQS_25_MONT-PRES-CHAMBORD_899,Araeoncus humilis,0.28720955159806305
RMQS_25_MONTPEZAT_2099,Araeoncus humilis,0.28720955159806305
RMQS_25_NAIZIN_663,Araeoncus humilis,0.28720955159806305
RMQS_25_OUESSANT_418,Araeoncus humilis,0.28720955159806305
RMQS_25_PAUILLAC_1571,Araeoncus humilis,0.28720955159806305
RMQS_25_PERREUX_803,Araeoncus humilis,0.28720955159806305
RMQS_25_POMMERAYE_939,Araeoncus humilis,0.28720955159806305
RMQS_25_PRESSAGNY-L'ORGUEILLEUX_277,Araeoncus humilis,0.28720955159806305
RMQS_25_RAUVILLE-LA-BIGOT_147,Araeoncus humilis,0.28720955159806305
RMQS_25_REALLON_1773,Araeoncus humilis,0.28720955159806305
RMQS_25_RHODES_412,Araeoncus humilis,0.28720955159806305
RMQS_25_ROCBARON_2172,Araeoncus humilis,0.28720955159806305
RMQS_25_SAILLY-EN-OSTREVENT_53,Araeoncus humilis,0.28720955159806305
RMQS_25_SAINT-AGNANT-PRES-CROCQ_1421,Araeoncus humilis,0.28720955159806305
RMQS_25_SAINT-GERMAIN_637,Araeoncus humilis,0.28720955159806305
RMQS_25_SAINT-GINEIS-EN-COIRON_1764,Araeoncus humilis,0.28720955159806305
RMQS_25_SAINT-SAUVEUR-SUR-TINEE_1904,Araeoncus humilis,0.28720955159806305
RMQS_25_SALON-DE_PROVENCE_2079,Araeoncus humilis,0.28720955159806305
RMQS_25_SANGUINET_1778,Araeoncus humilis,0.28720955159806305
RMQS_25_SCEAUX-DU-GATINAIS_688,Araeoncus humilis,0.28720955159806305
RMQS_25_SUSVILLE_1685,Araeoncus humilis,0.28720955159806305
RMQS_25_THARAUX_1890,Araeoncus humilis,0.28720955159806305
RMQS_25_THILLOMBOIS_347,Araeoncus humilis,0.28720955159806305
RMQS_25_TRIAIZE_1238,Araeoncus humilis,0.28720955159806305
RMQS_25_VOUZIERS_210,Araeoncus humilis,0.28720955159806305
RMQS_25_YGRANDE_1216,Araeoncus humilis,0.28720955159806305
RMQS_25_AILLEVILLE_640,Aulonia albimana,0.24726599899528154
RMQS_25_ALLANCHE_1589,Aulonia albimana,0.24726599899528154
RMQS_25_ALLINGES_1275,Aulonia albimana,0.24726599899528154
RMQS_25_ANTHENY_112,Aulonia albimana,0.24726599899528154
RMQS_25_ARFEUILLES_1345,Aulonia albimana,0.24726599899528154
RMQS_25_AVESSAC_831,Aulonia albimana,0.24726599899528154
RMQS_25_AZAY-LE-FERRON_1126,Aulonia albimana,0.24726599899528154
RMQS_25_BAZORDAN_2186,Aulonia albimana,0.24726599899528154
RMQS_25_BEAUCHENE_438,Aulonia albimana,0.24726599899528154
RMQS_25_BESSE_1747,Aulonia albimana,0.24726599899528154
RMQS_25_BETTEVILLE_153,Aulonia albimana,0.24726599899528154
RMQS_25_BEZIERS_2161,Aulonia albimana,0.24726599899528154
RMQS_25_BIOL_1517,Aulonia albimana,0.24726599899528154
RMQS_25_CANET-DE-SALARS_1882,Aulonia albimana,0.24726599899528154
RMQS_25_CARSAC-DE-GURSON_1657,Aulonia albimana,0.24726599899528154
RMQS_25_CASTANET_1878,Aulonia albimana,0.24726599899528154
RMQS_25_CASTELLET-LES-SAUSSES_1948,Aulonia albimana,0.24726599899528154
RMQS_25_CHAMBLAC_325,Aulonia albimana,0.24726599899528154
RMQS_25_CHAMONIX-MONT-BLANC_1402,Aulonia albimana,0.24726599899528154
RMQS_25_CHATEAU-L'EVEQUE_1578,Aulonia albimana,0.24726599899528154
RMQS_25_CHATRES-SUR-CHER_997,Aulonia albimana,0.24726599899528154
RMQS_25_CHAUSSEE-SUR-MARNE_401,Aulonia albimana,0.24726599899528154
RMQS_25_CLEMONT_903,Aulonia albimana,0.24726599899528154
RMQS_25_CUGNEY_970,Aulonia albimana,0.24726599899528154
RMQS_25_DAMBACH-LA-VILLE_10594,Aulonia albimana,0.24726599899528154
